scenario	inference_runtime	inference_idealized_runtime	inference_runtime_discrepancy	num_tokens_in_prompt	num_tokens	num_output_tokens	exact_match	y=x
imdb:model=ai21_j1-large	0.6686937809	0.1283	0.5403937809	1138.176667	2	2	0.9433333333	0.6686937809
imdb:model=anthropic_stanford-online-helpful-v4-s3	3.703187892	0.364222	3.338965892	1672.066667	2	2	0.9466666667	3.703187892
msmarco:task=passage,track=regular,topk=20,num_eval_queries=10,num_train_queries=1000,model=openai_davinci	0.4643716952	0.2248780488	0.2394936464	594.9707317	1	1		0.4643716952
msmarco:task=passage,track=regular,topk=20,num_eval_queries=10,num_train_queries=1000,model=openai_curie	0.1378575709	0.05544878049	0.08240879039	594.9707317	1	1		0.1378575709
msmarco:task=passage,track=regular,topk=20,num_eval_queries=10,num_train_queries=1000,model=openai_text-davinci-002	0.3117037889	0.2248780488	0.08682574016	594.9707317	1	1		0.3117037889
msmarco:task=passage,track=regular,topk=20,num_eval_queries=10,num_train_queries=1000,model=openai_text-davinci-001	0.1611642733	0.2248780488	-0.0637137755	594.9707317	1	1		0.1611642733
msmarco:task=passage,track=regular,topk=20,num_eval_queries=10,num_train_queries=1000,model=openai_text-curie-001	0.1437941388	0.05544878049	0.08834535835	594.9707317	1	1		0.1437941388
msmarco:task=passage,track=regular,topk=20,num_eval_queries=10,num_train_queries=1000,model=ai21_j1-jumbo	0.5627750792	0.1603268293	0.4024482499	431.3365854	1	1		0.5627750792
msmarco:task=passage,track=regular,topk=20,num_eval_queries=10,num_train_queries=1000,model=ai21_j1-grande	1.5147485			431.3365854	1	1		1.5147485
msmarco:task=passage,track=regular,topk=20,num_eval_queries=10,num_train_queries=1000,model=ai21_j1-large	0.4409123514	0.04617073171	0.3947416197	431.3365854	1	1		0.4409123514
msmarco:task=passage,track=regular,topk=20,num_eval_queries=10,num_train_queries=1000,model=anthropic_stanford-online-helpful-v4-s3	1.247312866	0.125897561	1.121415305	594.9707317	1	1		1.247312866
narrative_qa:model=openai_davinci	0.9644609801	0.8018045417	0.1626564384	1552.68	4.786666667	4.786666667	0.3733333333	0.9644609801
narrative_qa:model=openai_curie	0.2946664747	0.2510226319	0.04364384272	1552.68	5.666666667	5.666666667	0.2933333333	0.2946664747
narrative_qa:model=openai_text-davinci-002	1.078995237	1.760073167	-0.6810779293	3469.173333	9.733333333	9.733333333	0.4133333333	1.078995237
narrative_qa:model=openai_text-davinci-001	0.3656989797	1.299684542	-0.933985562	1552.68	10.93333333	10.93333333	0.3466666667	0.3656989797
narrative_qa:model=openai_text-curie-001	0.3273226452	0.4350226319	-0.1076999868	1552.68	13.33333333	13.33333333	0.2933333333	0.3273226452
narrative_qa:model=ai21_j1-jumbo	1.199013777	0.7212131944	0.4778005823	1710.28	4.053333333	4.053333333	0.4	1.199013777
narrative_qa:model=ai21_j1-grande	2.006391433			1710.28	4.32	4.32	0.3733333333	2.006391433
narrative_qa:model=ai21_j1-large	0.9350681464	0.2328678681	0.7022002783	1710.28	4.28	4.28	0.32	0.9350681464
natural_qa:mode=closedbook,model=openai_davinci	0.7428195349	0.52408	0.2187395349	124.12	6.293333333	6.293333333	0.17	0.7428195349
natural_qa:mode=closedbook,model=openai_curie	0.2203152808	0.14188	0.07843528076	124.12	5.826666667	5.826666667	0.07666666667	0.2203152808
natural_qa:mode=closedbook,model=openai_text-davinci-002	0.6733260687	0.77113	-0.09780393128	124.12	9.263333333	9.263333333	0.1933333333	0.6733260687
natural_qa:mode=closedbook,model=openai_text-davinci-001	0.2618587216	0.83404	-0.5721812784	124.12	10.08	10.08	0.1766666667	0.2618587216
natural_qa:mode=closedbook,model=openai_text-curie-001	0.2216371568	0.2262	-0.004562843196	124.12	9.226666667	9.226666667	0.05333333333	0.2216371568
natural_qa:mode=closedbook,model=ai21_j1-jumbo	0.7661654409	0.31096	0.4552054409	104.23	4.64	4.64	0.12	0.7661654409
natural_qa:mode=closedbook,model=ai21_j1-grande	1.777995269			104.23	6.523333333	6.523333333	0.08333333333	1.777995269
natural_qa:mode=closedbook,model=ai21_j1-large	0.4555819098	0.2576	0.1979819098	104.23	10.65	10.65	0.08333333333	0.4555819098
natural_qa:mode=openbook-longans	1.745267106	2.32209	-0.5768228941	237.72	28.08666667	28.08666667	0.1133333333	1.745267106
natural_qa:mode=openbook-wiki	11.43582387	22.98394667	-11.54812279	1703.566667	278.1066667	278.1066667	0.01	11.43582387
natural_qa:mode=closedbook,model=anthropic_stanford-online-helpful-v4-s3	6.093108079	0.39638	5.696728079	124.12	7.23	7.23	0.1266666667	6.093108079
natural_qa:mode=openbook-longans,model=anthropic_stanford-online-helpful-v4-s3	16.32682246	1.529661219	14.79716124	5979.403333	9.603333333	9.603333333	0.4466666667	16.32682246
natural_qa:mode=openbook-wiki,model=anthropic_stanford-online-helpful-v4-s3	87.79005954	9.47796074	78.3120988	5834.476667	157.2466667	157.2466667	0.003333333333	87.79005954
news_qa:model=openai_davinci	1.195317653	1.040388646	0.1549290072	1303.813333	8.643333333	8.643333333	0.1433333333	1.195317653
news_qa:model=openai_curie	0.3401813595	0.3482156424	-0.008034282911	1303.813333	10.61666667	10.61666667	0.09333333333	0.3401813595
news_qa:model=openai_text-davinci-002	1.246974066	1.678314469	-0.4313404027	3416.79	8.916666667	8.916666667	0.27	1.246974066
news_qa:model=openai_text-davinci-001	0.3989298137	1.531518646	-1.132588832	1303.813333	14.69666667	14.69666667	0.17	0.3989298137
news_qa:model=openai_text-curie-001	0.365594101	0.4936556424	-0.1280615414	1303.813333	16.64333333	16.64333333	0.1133333333	0.365594101
news_qa:model=ai21_j1-jumbo	1.23782318	0.7493327778	0.4884904018	1501.24	5.423333333	5.423333333	0.22	1.23782318
news_qa:model=ai21_j1-grande	2.340685057			1501.24	6.026666667	6.026666667	0.1866666667	2.340685057
news_qa:model=ai21_j1-large	0.8737345529	0.2554849722	0.6182495806	1501.24	6.023333333	6.023333333	0.1766666667	0.8737345529
quac:model=openai_davinci	1.870833782	2.42950876	-0.5586749781	1557.16	24.88666667	24.88666667	0.16	1.870833782
quac:model=openai_curie	0.5237582787	0.8885736649	-0.3648153862	1557.16	32.22	32.22	0.08666666667	0.5237582787
quac:model=openai_text-davinci-002	2.000173473	2.882976531	-0.8828030587	3585.77	23.16666667	23.16666667	0.2133333333	2.000173473
quac:model=openai_text-davinci-001	0.6373790892	2.89930876	-2.261929671	1557.16	30.67666667	30.67666667	0.1533333333	0.6373790892
quac:model=openai_text-curie-001	0.5255377833	0.8808136649	-0.3552758816	1557.16	31.87	31.87	0.1	0.5255377833
quac:model=ai21_j1-jumbo	2.039498577	1.822515347	0.2169832299	1666.986667	21.42333333	21.42333333	0.1766666667	2.039498577
quac:model=ai21_j1-grande	2.699126892			1666.986667	22.38333333	22.38333333	0.1433333333	2.699126892
quac:model=ai21_j1-large	1.215787622	0.6459817465	0.5698058756	1666.986667	21.69666667	21.69666667	0.1266666667	1.215787622
quac:model=anthropic_stanford-online-helpful-v4-s3	16.15708814	2.560952906	13.59613523	4451.89	33.74	33.74	0.1833333333	16.15708814
raft:subset=ade_corpus_v2,model=openai_davinci	0.7307617366	0.4321	0.2986617366	394.5	4.225	4.225		0.7307617366
raft:subset=ade_corpus_v2,model=openai_curie	0.2315356851	0.1165	0.1150356851	394.5	4	4		0.2315356851
raft:subset=ade_corpus_v2,model=openai_text-davinci-002	0.7689299464	0.7318	0.03712994642	394.5	7.925	7.925		0.7689299464
raft:subset=ade_corpus_v2,model=openai_text-davinci-001	0.2533245742	0.737875	-0.4845504258	394.5	8	8		0.2533245742
raft:subset=ade_corpus_v2,model=openai_text-curie-001	0.2175385654	0.2125	0.005038565397	394.5	8	8		0.2175385654
raft:subset=ade_corpus_v2,model=ai21_j1-jumbo	0.6462439656	0.37975	0.2664939656	302.125	4.85	4.85		0.6462439656
raft:subset=ade_corpus_v2,model=ai21_j1-grande	1.793583494			302.125	4.725	4.725		1.793583494
raft:subset=ade_corpus_v2,model=ai21_j1-large	0.4525072873	0.1241	0.3284072873	302.125	4.75	4.75		0.4525072873
raft:subset=banking_77,model=openai_davinci	0.8050026178	0.752675	0.05232761784	861.175	6.675	6.675		0.8050026178
raft:subset=banking_77,model=openai_curie	0.2427128136	0.2138	0.02891281362	861.175	6.575	6.575		0.2427128136
raft:subset=banking_77,model=openai_text-davinci-002	0.802387327	0.955175	-0.152787673	861.175	9.175	9.175		0.802387327
raft:subset=banking_77,model=openai_text-davinci-001	0.3102908731	0.9734	-0.6631091269	861.175	9.4	9.4		0.3102908731
raft:subset=banking_77,model=openai_text-curie-001	0.2380087912	0.2768	-0.03879120879	861.175	9.2	9.2		0.2380087912
raft:subset=banking_77,model=ai21_j1-jumbo	1.006601667	0.6158	0.3908016674	875.575	6.325	6.325		1.006601667
raft:subset=banking_77,model=ai21_j1-grande	2.101376474			875.575	7.25	7.25		2.101376474
raft:subset=banking_77,model=ai21_j1-large	0.7003988206	0.2252	0.4751988206	875.575	7.05	7.05		0.7003988206
raft:subset=neurips_impact_statement_risks,model=openai_davinci	0.8361100614	0.851025	-0.01491493859	1465.65	5.7	5.7		0.8361100614
raft:subset=neurips_impact_statement_risks,model=openai_curie	0.2565708995	0.2068	0.04977089949	1465.65	4.15	4.15		0.2565708995
raft:subset=neurips_impact_statement_risks,model=openai_text-davinci-002	0.9087747693	0.987160625	-0.07838585569	1476.625	7.35	7.35		0.9087747693
raft:subset=neurips_impact_statement_risks,model=openai_text-davinci-001	0.3139789879	1.037325	-0.7233460121	1465.65	8	8		0.3139789879
raft:subset=neurips_impact_statement_risks,model=openai_text-curie-001	0.2774968743	0.2968	-0.01930312567	1465.65	7.9	7.9		0.2774968743
raft:subset=neurips_impact_statement_risks,model=ai21_j1-jumbo	1.030776477	0.62775	0.4030264769	1042.05	5.625	5.625		1.030776477
raft:subset=neurips_impact_statement_risks,model=ai21_j1-grande	2.177276087			1042.05	5.75	5.75		2.177276087
raft:subset=neurips_impact_statement_risks,model=ai21_j1-large	0.7858813107	0.20845	0.5774313107	1042.05	5.75	5.75		0.7858813107
raft:subset=one_stop_english,model=openai_davinci	1.160378826	0.5154770313	0.6449017944	1618.725	0.925	0.925		1.160378826
raft:subset=one_stop_english,model=openai_curie	0.3514588952	0.1447740365	0.2066848587	1618.725	0.675	0.675		0.3514588952
raft:subset=one_stop_english,model=openai_text-davinci-002	1.222654611	1.116849766	0.1058048452	3557.525	0.95	0.95		1.222654611
raft:subset=one_stop_english,model=openai_text-davinci-001	0.3722922504	0.9447770312	-0.5724847809	1618.725	6.225	6.225		0.3722922504
raft:subset=one_stop_english,model=openai_text-curie-001	0.37347036	0.1825740365	0.1908963236	1618.725	1.8	1.8		0.37347036
raft:subset=one_stop_english,model=ai21_j1-jumbo	1.152927864	0.5993700521	0.5535578115	1742.775	2	2		1.152927864
raft:subset=one_stop_english,model=ai21_j1-grande	2.439754003			1742.775	2	2		2.439754003
raft:subset=one_stop_english,model=ai21_j1-large	0.9032993257	0.1796490495	0.7236502762	1742.775	2	2		0.9032993257
raft:subset=overruling,model=openai_davinci	0.6935051322	0.2547	0.4388051322	305.5	2.45	2.45		0.6935051322
raft:subset=overruling,model=openai_curie	0.2134417176	0.05985	0.1535917176	305.5	2.05	2.05		0.2134417176
raft:subset=overruling,model=openai_text-davinci-002	0.6954365969	0.625275	0.07016159687	305.5	7.025	7.025		0.6954365969
raft:subset=overruling,model=openai_text-davinci-001	0.2646142304	0.70425	-0.4396357696	305.5	8	8		0.2646142304
raft:subset=overruling,model=openai_text-curie-001	0.2166647553	0.20265	0.01401475534	305.5	8	8		0.2166647553
raft:subset=overruling,model=ai21_j1-jumbo	0.5494107127	0.206575	0.3428357127	241.85	2.625	2.625		0.5494107127
raft:subset=overruling,model=ai21_j1-grande	1.505717582			241.85	2.05	2.05		1.505717582
raft:subset=overruling,model=ai21_j1-large	0.3750737131	0.05295	0.3221237131	241.85	2	2		0.3750737131
raft:subset=semiconductor_org_types,model=openai_davinci	0.7229299188	0.202225	0.5207049188	410.625	1.325	1.325		0.7229299188
raft:subset=semiconductor_org_types,model=openai_curie	0.2030913115	0.058	0.1450913115	410.625	1.5	1.5		0.2030913115
raft:subset=semiconductor_org_types,model=openai_text-davinci-002	0.7556770146	0.275125	0.4805520146	410.625	2.225	2.225		0.7556770146
raft:subset=semiconductor_org_types,model=openai_text-davinci-001	0.252654773	0.7429	-0.490245227	410.625	8	8		0.252654773
raft:subset=semiconductor_org_types,model=openai_text-curie-001	0.2219900548	0.214	0.007990054846	410.625	8	8		0.2219900548
raft:subset=semiconductor_org_types,model=ai21_j1-jumbo	0.6207282662	0.2049	0.4158282662	359.525	2	2		0.6207282662
raft:subset=semiconductor_org_types,model=ai21_j1-grande	1.32104845			359.525	2	2		1.32104845
raft:subset=semiconductor_org_types,model=ai21_j1-large	0.4120898426	0.0605	0.3515898426	359.525	2	2		0.4120898426
raft:subset=systematic_review_inclusion,model=openai_davinci	0.8002408803	0.5215	0.2787408803	1354.1	2	2		0.8002408803
raft:subset=systematic_review_inclusion,model=openai_curie	0.2507958114	0.14615	0.1046458114	1354.1	2	2		0.2507958114
raft:subset=systematic_review_inclusion,model=openai_text-davinci-002	0.8683486044	0.5539	0.3144486044	1354.1	2.4	2.4		0.8683486044
raft:subset=systematic_review_inclusion,model=openai_text-davinci-001	0.3042868912	0.9913	-0.6870131088	1354.1	7.8	7.8		0.3042868912
raft:subset=systematic_review_inclusion,model=openai_text-curie-001	0.2663138092	0.23615	0.03016380916	1354.1	5.75	5.75		0.2663138092
raft:subset=systematic_review_inclusion,model=ai21_j1-jumbo	0.8312559068	0.394475	0.4367809068	1026.4	2	2		0.8312559068
raft:subset=systematic_review_inclusion,model=ai21_j1-grande	1.974183279			1026.4	2	2		1.974183279
raft:subset=systematic_review_inclusion,model=ai21_j1-large	0.6602744818	0.11805	0.5422244818	1026.4	2	2		0.6602744818
raft:subset=tai_safety_research,model=openai_davinci	0.8638214707	0.8012559375	0.06256553324	1773.675	4.025	4.025		0.8638214707
raft:subset=tai_safety_research,model=openai_curie	0.3230908811	0.2408827604	0.08220812069	1773.675	4.45	4.45		0.3230908811
raft:subset=tai_safety_research,model=openai_text-davinci-002	0.7966136456	1.062221641	-0.2656079951	1783.025	7.225	7.225		0.7966136456
raft:subset=tai_safety_research,model=openai_text-davinci-001	0.312297678	1.123230938	-0.8109332595	1773.675	8	8		0.312297678
raft:subset=tai_safety_research,model=openai_text-curie-001	0.2759506822	0.3260827604	-0.05013207825	1773.675	8	8		0.2759506822
raft:subset=tai_safety_research,model=ai21_j1-jumbo	1.207668519	0.6755	0.532168519	1339.55	5.025	5.025		1.207668519
raft:subset=tai_safety_research,model=ai21_j1-grande	1.691762364			1339.55	5.85	5.85		1.691762364
raft:subset=tai_safety_research,model=ai21_j1-large	0.8407171786	0.21785	0.6228671786	1339.55	5.1	5.1		0.8407171786
raft:subset=terms_of_service,model=openai_davinci	0.7615654945	0.4376	0.3239654945	820.3	2.825	2.825		0.7615654945
raft:subset=terms_of_service,model=openai_curie	0.222301501	0.103775	0.118526501	820.3	2.075	2.075		0.222301501
raft:subset=terms_of_service,model=openai_text-davinci-002	0.7217219174	0.512525	0.2091969174	820.3	3.75	3.75		0.7217219174
raft:subset=terms_of_service,model=openai_text-davinci-001	0.2676917136	0.85475	-0.5870582864	820.3	7.975	7.975		0.2676917136
raft:subset=terms_of_service,model=openai_text-curie-001	0.2348227322	0.245375	-0.01055226779	820.3	7.975	7.975		0.2348227322
raft:subset=terms_of_service,model=ai21_j1-jumbo	0.7844334543	0.38595	0.3984834543	595.275	3.775	3.775		0.7844334543
raft:subset=terms_of_service,model=ai21_j1-grande	1.823880416			595.275	3.775	3.775		1.823880416
raft:subset=terms_of_service,model=ai21_j1-large	0.532384783	0.10385	0.428534783	595.275	3.025	3.025		0.532384783
raft:subset=tweet_eval_hate,model=openai_davinci	0.6818787217	0.288325	0.3935537217	354.775	2.775	2.775		0.6818787217
raft:subset=tweet_eval_hate,model=openai_curie	0.2138985217	0.08475	0.1291485217	354.775	3	3		0.2138985217
raft:subset=tweet_eval_hate,model=openai_text-davinci-002	0.7222506404	0.470575	0.2516756404	354.775	5.025	5.025		0.7222506404
raft:subset=tweet_eval_hate,model=openai_text-davinci-001	0.2522501886	0.71155	-0.4592998114	354.775	8	8		0.2522501886
raft:subset=tweet_eval_hate,model=openai_text-curie-001	0.2154518843	0.20475	0.01070188427	354.775	8	8		0.2154518843
raft:subset=tweet_eval_hate,model=ai21_j1-jumbo	0.5220922172	0.253	0.2690922172	286.075	2.875	2.875		0.5220922172
raft:subset=tweet_eval_hate,model=ai21_j1-grande	1.595702285			286.075	2.65	2.65		1.595702285
raft:subset=tweet_eval_hate,model=ai21_j1-large	0.4294519603	0.0814	0.3480519603	286.075	2.975	2.975		0.4294519603
raft:subset=twitter_complaints,model=openai_davinci	0.6714145005	0.1808	0.4906145005	256.35	1.75	1.75		0.6714145005
raft:subset=twitter_complaints,model=openai_curie	0.2119627416	0.03775	0.1742127416	256.35	1.3	1.3		0.2119627416
raft:subset=twitter_complaints,model=openai_text-davinci-002	0.7432726085	0.26585	0.4774226085	256.35	2.8	2.8		0.7432726085
raft:subset=twitter_complaints,model=openai_text-davinci-001	0.2626270533	0.68705	-0.4244229467	256.35	8	8		0.2626270533
raft:subset=twitter_complaints,model=openai_text-curie-001	0.2127031863	0.19435	0.01835318627	256.35	7.8	7.8		0.2127031863
raft:subset=twitter_complaints,model=ai21_j1-jumbo	0.5777790248	0.209	0.3687790248	211.25	2.75	2.75		0.5777790248
raft:subset=twitter_complaints,model=ai21_j1-grande	1.344748616			211.25	2.375	2.375		1.344748616
raft:subset=twitter_complaints,model=ai21_j1-large	0.3958569884	0.0538	0.3420569884	211.25	2.075	2.075		0.3958569884
summarization_cnndm:temperature=0,model=openai_davinci	4.822146858	8.721390728	-3.899243871	1598.741722	102.3708609	102.3708609		4.822146858
summarization_cnndm:temperature=0,model=openai_curie	0.9934714346	2.49097351	-1.497502075	1598.741722	98.78807947	98.78807947		0.9934714346
summarization_cnndm:temperature=0,model=openai_text-davinci-002	4.995930269	9.287317881	-4.291387612	1598.741722	109.3576159	109.3576159		4.995930269
summarization_cnndm:temperature=0,model=openai_text-davinci-001	1.700791463	7.748854305	-6.048062841	1598.741722	90.36423841	90.36423841		1.700791463
summarization_cnndm:temperature=0,model=openai_text-curie-001	1.153088344	2.719847682	-1.566759338	1598.741722	108.3245033	108.3245033		1.153088344
summarization_cnndm:temperature=0,model=ai21_j1-jumbo	7.224059907	7.895019868	-0.6709599605	1205.258278	118.397351	118.397351		7.224059907
summarization_cnndm:temperature=0,model=ai21_j1-grande	6.22847081			1205.258278	116.7019868	116.7019868		6.22847081
summarization_cnndm:temperature=0,model=ai21_j1-large	2.864612248	2.839847682	0.02476456565	1205.258278	114.8675497	114.8675497		2.864612248
summarization_cnndm:temperature=0.3,model=openai_davinci	4.790054797	8.51486755	-3.724812753	1598.741722	99.82119205	99.82119205		4.790054797
summarization_cnndm:temperature=0.3,model=openai_curie	1.026355136	2.442337748	-1.415982613	1598.741722	96.7615894	96.7615894		1.026355136
summarization_cnndm:temperature=0.3,model=openai_text-davinci-002	5.228400954	9.380119205	-4.151718252	1598.741722	110.5033113	110.5033113		5.228400954
summarization_cnndm:temperature=0.3,model=openai_text-davinci-001	1.623412233	7.810543046	-6.187130813	1598.741722	91.12582781	91.12582781		1.623412233
summarization_cnndm:temperature=0.3,model=openai_text-curie-001	1.154108952	2.744642384	-1.590533432	1598.741722	109.3576159	109.3576159		1.154108952
summarization_cnndm:temperature=0.3,model=ai21_j1-jumbo	6.63852785	7.584344371	-0.9458165212	1205.258278	113.5430464	113.5430464		6.63852785
summarization_cnndm:temperature=0.3,model=ai21_j1-grande	5.744210984			1205.258278	113.2450331	113.2450331		5.744210984
summarization_cnndm:temperature=0.3,model=ai21_j1-large	2.65878678	2.60286755	0.05591923033	1205.258278	104.9933775	104.9933775		2.65878678
summarization_xsum:temperature=0,model=openai_davinci	1.290465995	1.678634483	-0.3881684882	902.7172414	17.91034483	17.91034483		1.290465995
summarization_xsum:temperature=0,model=openai_curie	0.4798090162	0.9676344828	-0.4878254666	902.7172414	37.7862069	37.7862069		0.4798090162
summarization_xsum:temperature=0,model=openai_text-davinci-002	1.982623322	2.989158621	-1.006535298	902.7172414	34.07586207	34.07586207		1.982623322
summarization_xsum:temperature=0,model=openai_text-davinci-001	0.6977996284	2.644489655	-1.946690027	902.7172414	29.80689655	29.80689655		0.6977996284
summarization_xsum:temperature=0,model=openai_text-curie-001	0.4154566058	0.6319655172	-0.2165089115	902.7172414	23.84827586	23.84827586		0.4154566058
summarization_xsum:temperature=0,model=ai21_j1-jumbo	2.270980682	2.468524138	-0.1975434559	705.7586207	35.85517241	35.85517241		2.270980682
summarization_xsum:temperature=0,model=ai21_j1-grande	2.007607911			705.7586207	12.25517241	12.25517241		2.007607911
summarization_xsum:temperature=0,model=ai21_j1-large	0.9600541608	0.7570689655	0.2029851953	705.7586207	29.7862069	29.7862069		0.9600541608
summarization_xsum:temperature=0.3,model=openai_davinci	1.354978374	1.736172414	-0.3811940398	902.7172414	18.62068966	18.62068966		1.354978374
summarization_xsum:temperature=0.3,model=openai_curie	0.4634973921	0.9328758621	-0.46937847	902.7172414	36.32413793	36.32413793		0.4634973921
summarization_xsum:temperature=0.3,model=openai_text-davinci-002	1.976880909	3.064572414	-1.087691505	902.7172414	35	35		1.976880909
summarization_xsum:temperature=0.3,model=openai_text-davinci-001	0.6437005684	2.667393103	-2.023692535	902.7172414	30.08275862	30.08275862		0.6437005684
summarization_xsum:temperature=0.3,model=openai_text-curie-001	0.4762860035	0.6700344828	-0.1937484793	902.7172414	25.42758621	25.42758621		0.4762860035
summarization_xsum:temperature=0.3,model=ai21_j1-jumbo	2.473055506	2.263282759	0.2097727471	705.7586207	32.64827586	32.64827586		2.473055506
summarization_xsum:temperature=0.3,model=ai21_j1-grande	1.942100337			705.7586207	13.8	13.8		1.942100337
summarization_xsum:temperature=0.3,model=ai21_j1-large	0.9606954065	0.708737931	0.2519574755	705.7586207	27.77241379	27.77241379		0.9606954065
blimp:phenomenon=island_effects	0.2399567518	0.08967114094	0.1502856108					0.2399567518
blimp:phenomenon=anaphor_agreement	0.2242406655	0.09081632653	0.133424339					0.2242406655
blimp:phenomenon=argument_structure	0.221979655	0.0898989899	0.1320806651					0.221979655
blimp:phenomenon=determiner_noun_agreement	0.2175243909	0.08959731544	0.1279270755					0.2175243909
blimp:phenomenon=subject_verb_agreement	0.2182941891	0.08935785953	0.1289363296					0.2182941891
blimp:phenomenon=ellipsis	0.2273704284	0.09223809524	0.1351323332					0.2273704284
blimp:phenomenon=control_raising	0.2269002979	0.09088135593	0.136018942					0.2269002979
blimp:phenomenon=quantifiers	0.2261661412	0.09020945946	0.1359566817					0.2261661412
blimp:phenomenon=irregular_forms	0.2200412393	0.09081632653	0.1292249128					0.2200412393
blimp:phenomenon=npi_licensing	0.2226947678	0.09008080808	0.1326139598					0.2226947678
blimp:phenomenon=binding	0.2250890619	0.08991245791	0.135176604					0.2250890619
blimp:phenomenon=filler_gap_dependency	0.2290479045	0.09044444444	0.1386034601					0.2290479045
the_pile:subset=OpenSubtitles	1.74998884	0.6211021836	1.128886657	2048.996894	1848.732919	0		1.74998884
twitter_aae:demographic=aa	0.2350323812	0.08996333333	0.1450690479	17.46333333	16.46333333	0		0.2350323812
twitter_aae:demographic=white	0.2350323812	0.08996333333	0.1450690479	17.46333333	16.46333333	0		0.2350323812
ice:subset=CAN	1.239933962	0.6203063018	0.6196276598	2045.731343	1456.344942	0		1.239933962
ice:subset=HK	1.249072037	0.6210947328	0.627977304	2048.972315	1716.666667	0		1.249072037
ice:subset=IND	1.208320569	0.6210421613	0.5872784077	2048.717877	1658.905028	0		1.208320569
ice:subset=JA	1.21279412	0.6141548538	0.5986392666	2023.109948	1419.856894	0		1.21279412
ice:subset=PHI	1.250293232	0.6210991481	0.6291940841	2048.98688	1650.351312	0		1.250293232
ice:subset=SIN	1.25824354	0.6210994114	0.637144129	2048.987749	1573.696784	0		1.25824354
ice:subset=USA	1.370529395	0.6208360169	0.7496933784	2047.883777	1557.043584	0		1.370529395
wikitext_103:model=openai_davinci	1.201790644	0.600974535	0.6008161086	1971.761905	1703.696429	0		1.201790644
wikitext_103:model=openai_curie	0.6128299974	0.1719466797	0.4408833177	1971.761905	1703.696429	0		0.6128299974
wikitext_103:model=openai_text-davinci-001	0.6775558662	0.600974535	0.07658133121	1971.761905	1703.696429	0		0.6775558662
wikitext_103:model=openai_text-curie-001	0.6272761098	0.1719466797	0.4553294301	1971.761905	1703.696429	0		0.6272761098
commonsense_qa:dataset=hellaswag,method=mcqa,model=openai_davinci	0.4605895583	0.22596	0.2346295583	606.7266667	1	1	0.3066666667	0.4605895583
commonsense_qa:dataset=hellaswag,method=mcqa,model=openai_curie	0.1796775826	0.05769666667	0.1219809159	606.7266667	1	1	0.2466666667	0.1796775826
commonsense_qa:dataset=hellaswag,method=mcqa,model=openai_text-davinci-002	0.3638757006	0.22596	0.1379157006	606.7266667	1	1	0.74	0.3638757006
commonsense_qa:dataset=hellaswag,method=mcqa,model=openai_text-davinci-001	0.1789670602	0.22596	-0.04699293975	606.7266667	1	1	0.4566666667	0.1789670602
commonsense_qa:dataset=hellaswag,method=mcqa,model=openai_text-curie-001	0.1788752262	0.05769666667	0.1211785595	606.7266667	1	1	0.27	0.1788752262
commonsense_qa:dataset=hellaswag,method=mcqa,model=ai21_j1-jumbo	1.25469044	0.1573033333	1.097387107	440.1133333	1	1	0.25	1.25469044
